log,cleaned_log,label,stage,severity,root_cause,log_length
"2026-04-15T13:52:55.000Z ##[group]Run CI for facebook/react
2026-04-15T13:52:55.000Z Runner image: windows-latest
2026-04-15T13:52:55.000Z Language: java
2026-04-15T13:52:55.000Z aws secretsmanager get-secret-value --secret-id docker-token
2026-04-15T13:52:55.000Z AccessDeniedException: User is not authorized to perform secretsmanager:GetSecretValue
2026-04-15T13:52:55.000Z ##[error]permission denied while accessing deployment secret",2026-04-15t13:52:55.000z group run ci for facebook/react 2026-04-15t13:52:55.000z runner image: windows-latest 2026-04-15t13:52:55.000z language: java 2026-04-15t13:52:55.000z aws secretsmanager get-secret-value --secret-id docker-token 2026-04-15t13:52:55.000z,Permission Error,deploy,high,"Token, role, or filesystem permission denied",
"2026-04-02T00:52:05.000Z ##[group]Run CI for django/django
2026-04-02T00:52:05.000Z Runner image: macos-latest
2026-04-02T00:52:05.000Z Language: node
2026-04-02T00:52:05.000Z Pulling cache layer from registry
2026-04-02T00:52:05.000Z error: failed to solve: no space left on device
2026-04-02T00:52:05.000Z ##[error]Runner disk pressure caused job failure",2026-04-02t00:52:05.000z group run ci for django/django 2026-04-02t00:52:05.000z runner image: macos-latest 2026-04-02t00:52:05.000z language: node 2026-04-02t00:52:05.000z pulling cache layer from registry 2026-04-02t00:52:05.000z,Infrastructure Error,build,high,Runner or external service instability,231.0
"2026-04-10T11:03:37.4412526Z INFO: Found applicable config definition common:win_clang_base in file c:\actions-runner\_work\tensorflow\tensorflow\.bazelrc: --@com_google_protobuf//build_defs:use_dlls=True --@com_google_absl//absl:use_dlls=True --linkopt=/demangle:no --host_linkopt=/demangle:no --linkopt=/errorlimit:0 --host_linkopt=/errorlimit:0 --copt=/clang:-Weverything --host_copt=/clang:-Weverything --compiler=clang-cl --linkopt=/FORCE:MULTIPLE --host_linkopt=/FORCE:MULTIPLE --action_env=PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.PY;.PYW 2026-04-10T11:03:37.4417136Z INFO: Found applicable config definition test:win_clang_base in file c:\actions-runner\_work\tensorflow\tensorflow\.bazelrc: --linkopt=/FORCE:MULTIPLE --host_linkopt=/FORCE:MULTIPLE --build_tests_only --keep_going --test_output=errors --verbose_failures=true --test_summary=short 2026-04-10T11:03:37.4468459Z INFO: Found applicable config definition common:win_clang_base in file c:\actions-runner\_work\tensorflow\tensorflow\.bazelrc: --@com_google_protobuf//build_defs:use_dlls=True --@com_google_absl//absl:use_dlls=True --linkopt=/demangle:no --host_linkopt=/demangle:no --linkopt=/errorlimit:0 --host_linkopt=/errorlimit:0 --copt=/clang:-Weverything --host_copt=/clang:-Weverything --compiler=clang-cl --linkopt=/FORCE:MULTIPLE --host_linkopt=/FORCE:MULTIPLE --action_env=PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.PY;.PYW 2026-04-10T11:03:37.4473095Z INFO: Found applicable config definition test:win_clang_base in file c:\actions-runner\_work\tensorflow\tensorflow\.bazelrc: --linkopt=/FORCE:MULTIPLE --host_linkopt=/FORCE:MULTIPLE --build_tests_only --keep_going --test_output=errors --verbose_failures=true --test_summary=short 2026-04-10T11:03:46.6576515Z DEBUG: Rule 'python_3_13_x86_64-pc-windows-msvc' indicated that a canonical reproducible form can be obtained by dropping arguments [""ignore_root_user_error""]",tz info found applicable config,Test Failure,test,medium,Assertion or test case failure,31.0
"2026-04-16T00:40:23.000Z ##[group]Run CI for facebook/react
2026-04-16T00:40:23.000Z Runner image: macos-latest
2026-04-16T00:40:23.000Z Language: node
2026-04-16T00:40:23.000Z validating .github/workflows/ci.yml
2026-04-16T00:40:23.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-16T00:40:23.000Z ##[error]Invalid workflow configuration",2026-04-16t00:40:23.000z group run ci for facebook/react 2026-04-16t00:40:23.000z runner image: macos-latest 2026-04-16t00:40:23.000z language: node 2026-04-16t00:40:23.000z validating .github/workflows/ci.yml 2026-04-16t00:40:23.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,
"2026-04-04T22:50:18.000Z ##[group]Run CI for apache/spark
2026-04-04T22:50:18.000Z Runner image: windows-latest
2026-04-04T22:50:18.000Z Language: rust
2026-04-04T22:50:18.000Z Pulling cache layer from registry
2026-04-04T22:50:18.000Z error: failed to solve: no space left on device
2026-04-04T22:50:18.000Z ##[error]Runner disk pressure caused job failure",2026-04-04t22:50:18.000z group run ci for apache/spark 2026-04-04t22:50:18.000z runner image: windows-latest 2026-04-04t22:50:18.000z language: rust 2026-04-04t22:50:18.000z pulling cache layer from registry 2026-04-04t22:50:18.000z,Infrastructure Error,build,high,Runner or external service instability,
"2026-04-08T13:22:32.000Z ##[group]Run CI for nodejs/node
2026-04-08T13:22:32.000Z Runner image: windows-latest
2026-04-08T13:22:32.000Z Language: rust
2026-04-08T13:22:32.000Z Starting module cache
2026-04-08T13:22:32.000Z Traceback (most recent call last): ValueError: invalid state transition in cache
2026-04-08T13:22:32.000Z ##[error]Runtime exception in test process",2026-04-08t13:22:32.000z group run ci for nodejs/node 2026-04-08t13:22:32.000z runner image: windows-latest 2026-04-08t13:22:32.000z language: rust 2026-04-08t13:22:32.000z starting module cache 2026-04-08t13:22:32.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,
"2026-04-01T09:24:24.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-01T09:24:24.000Z Runner image: ubuntu-latest
2026-04-01T09:24:24.000Z Language: node
2026-04-01T09:24:24.000Z ERROR: Module not found: Cannot resolve 'webpack'
2026-04-01T09:24:24.000Z npm ERR! code E404
2026-04-01T09:24:24.000Z ##[error]Dependency installation failed",2026-04-01t09:24:24.000z group run ci for spring-projects/spring-boot 2026-04-01t09:24:24.000z runner image: ubuntu-latest 2026-04-01t09:24:24.000z language: node 2026-04-01t09:24:24.000z error: module not found: cannot resolve,Dependency Error,build,high,Missing package or unresolved module dependency,227.0
"2026-04-04T21:55:48.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-04T21:55:48.000Z Runner image: windows-latest
2026-04-04T21:55:48.000Z Language: rust
2026-04-04T21:55:48.000Z Starting module scheduler
2026-04-04T21:55:48.000Z Traceback (most recent call last): ValueError: invalid state transition in scheduler
2026-04-04T21:55:48.000Z ##[error]Runtime exception in test process",2026-04-04t21:55:48.000z group run ci for tensorflow/tensorflow 2026-04-04t21:55:48.000z runner image: windows-latest 2026-04-04t21:55:48.000z language: rust 2026-04-04t21:55:48.000z starting module scheduler 2026-04-04t21:55:48.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,
"2026-04-15T10:32:25.000Z ##[group]Run CI for facebook/react
2026-04-15T10:32:25.000Z Runner image: windows-latest
2026-04-15T10:32:25.000Z Language: rust
2026-04-15T10:32:25.000Z src/cache/handler.py:111: SyntaxError: unexpected token '='
2026-04-15T10:32:25.000Z pylint: E0001 syntax-error
2026-04-15T10:32:25.000Z ##[error]Build stopped due to syntax error",2026-04-15t10:32:25.000z group run ci for facebook/react 2026-04-15t10:32:25.000z runner image: windows-latest 2026-04-15t10:32:25.000z language: rust 2026-04-15t10:32:25.000z src/cache/handler.py:111: syntaxerror: unexpected token 2026-04-15t10:32:25.000z pylint:,Syntax Error,build,high,Invalid code syntax detected by compiler or linter,
"2026-04-02T07:56:43.000Z ##[group]Run CI for vercel/next.js
2026-04-02T07:56:43.000Z Runner image: ubuntu-latest
2026-04-02T07:56:43.000Z Language: python
2026-04-02T07:56:43.000Z Starting module scheduler
2026-04-02T07:56:43.000Z Traceback (most recent call last): ValueError: invalid state transition in scheduler
2026-04-02T07:56:43.000Z ##[error]Runtime exception in test process",2026-04-02t07:56:43.000z group run ci for vercel/next.js 2026-04-02t07:56:43.000z runner image: ubuntu-latest 2026-04-02t07:56:43.000z language: python 2026-04-02t07:56:43.000z starting module scheduler 2026-04-02t07:56:43.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,242.0
"2026-04-01T12:02:31.000Z ##[group]Run CI for angular/angular
2026-04-01T12:02:31.000Z Runner image: windows-latest
2026-04-01T12:02:31.000Z Language: rust
2026-04-01T12:02:31.000Z src/cache/handler.py:83: SyntaxError: unexpected token ')'
2026-04-01T12:02:31.000Z pylint: E0001 syntax-error
2026-04-01T12:02:31.000Z ##[error]Build stopped due to syntax error",2026-04-01t12:02:31.000z group run ci for angular/angular 2026-04-01t12:02:31.000z runner image: windows-latest 2026-04-01t12:02:31.000z language: rust 2026-04-01t12:02:31.000z src/cache/handler.py:83: syntaxerror: unexpected token 2026-04-01t12:02:31.000z pylint:,Syntax Error,build,high,Invalid code syntax detected by compiler or linter,264.0
"2026-04-01T10:01:03.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-01T10:01:03.000Z Runner image: windows-latest
2026-04-01T10:01:03.000Z Language: go
2026-04-01T10:01:03.000Z pytest -m integration --maxfail=1
2026-04-01T10:01:03.000Z Error: Process timed out after 30 minutes
2026-04-01T10:01:03.000Z ##[error]The operation was canceled",2026-04-01t10:01:03.000z group run ci for spring-projects/spring-boot 2026-04-01t10:01:03.000z runner image: windows-latest 2026-04-01t10:01:03.000z language: go 2026-04-01t10:01:03.000z pytest -m integration --maxfail 1 2026-04-01t10:01:03.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,245.0
"2026-04-01T14:00:57.000Z ##[group]Run CI for apache/spark
2026-04-01T14:00:57.000Z Runner image: windows-latest
2026-04-01T14:00:57.000Z Language: java
2026-04-01T14:00:57.000Z Starting module router
2026-04-01T14:00:57.000Z Traceback (most recent call last): ValueError: invalid state transition in router
2026-04-01T14:00:57.000Z ##[error]Runtime exception in test process",2026-04-01t14:00:57.000z group run ci for apache/spark 2026-04-01t14:00:57.000z runner image: windows-latest 2026-04-01t14:00:57.000z language: java 2026-04-01t14:00:57.000z starting module router 2026-04-01t14:00:57.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,236.0
"2026-04-01T11:02:04.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-01T11:02:04.000Z Runner image: ubuntu-latest
2026-04-01T11:02:04.000Z Language: node
2026-04-01T11:02:04.000Z src/scheduler/handler.py:94: SyntaxError: unexpected token '@'
2026-04-01T11:02:04.000Z pylint: E0001 syntax-error
2026-04-01T11:02:04.000Z ##[error]Build stopped due to syntax error",2026-04-01t11:02:04.000z group run ci for spring-projects/spring-boot 2026-04-01t11:02:04.000z runner image: ubuntu-latest 2026-04-01t11:02:04.000z language: node 2026-04-01t11:02:04.000z src/scheduler/handler.py:94: syntaxerror: unexpected token 2026-04-01t11:02:04.000z pylint:,Syntax Error,build,high,Invalid code syntax detected by compiler or linter,279.0
"2026-04-01T09:48:19.000Z ##[group]Run CI for django/django
2026-04-01T09:48:19.000Z Runner image: ubuntu-latest
2026-04-01T09:48:19.000Z Language: node
2026-04-01T09:48:19.000Z src/auth/handler.py:69: SyntaxError: unexpected token '['
2026-04-01T09:48:19.000Z pylint: E0001 syntax-error
2026-04-01T09:48:19.000Z ##[error]Build stopped due to syntax error",2026-04-01t09:48:19.000z group run ci for django/django 2026-04-01t09:48:19.000z runner image: ubuntu-latest 2026-04-01t09:48:19.000z language: node 2026-04-01t09:48:19.000z src/auth/handler.py:69: syntaxerror: unexpected token 2026-04-01t09:48:19.000z pylint:,Syntax Error,build,high,Invalid code syntax detected by compiler or linter,260.0
"2026-04-01T18:16:03.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T18:16:03.000Z Runner image: macos-latest
2026-04-01T18:16:03.000Z Language: rust
2026-04-01T18:16:03.000Z make build-ci -j4
2026-04-01T18:16:03.000Z gcc: fatal error: cannot execute 'cc1plus': No such file or directory
2026-04-01T18:16:03.000Z ##[error]Build failed with exit code 2",2026-04-01t18:16:03.000z group run ci for tensorflow/tensorflow 2026-04-01t18:16:03.000z runner image: macos-latest 2026-04-01t18:16:03.000z language: rust 2026-04-01t18:16:03.000z make build-ci -j4 2026-04-01t18:16:03.000z gcc: fatal,Build Failure,build,high,Compilation or packaging process failed,234.0
"2026-04-01T08:48:26.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T08:48:26.000Z Runner image: ubuntu-latest
2026-04-01T08:48:26.000Z Language: go
2026-04-01T08:48:26.000Z FAIL internal/runtime/retry_test.go
2026-04-01T08:48:26.000Z AssertionError: expected 1 but received 12
2026-04-01T08:48:26.000Z ##[error]Test suite failed with exit code 1",2026-04-01t08:48:26.000z group run ci for tensorflow/tensorflow 2026-04-01t08:48:26.000z runner image: ubuntu-latest 2026-04-01t08:48:26.000z language: go 2026-04-01t08:48:26.000z fail internal/runtime/retry_test.go 2026-04-01t08:48:26.000z assertionerror: expected 1,Test Failure,test,medium,Assertion mismatch in CI test suite,267.0
"2026-04-16T01:32:49.000Z ##[group]Run CI for django/django
2026-04-16T01:32:49.000Z Runner image: macos-latest
2026-04-16T01:32:49.000Z Language: go
2026-04-16T01:32:49.000Z validating .github/workflows/ci.yml
2026-04-16T01:32:49.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-16T01:32:49.000Z ##[error]Invalid workflow configuration",2026-04-16t01:32:49.000z group run ci for django/django 2026-04-16t01:32:49.000z runner image: macos-latest 2026-04-16t01:32:49.000z language: go 2026-04-16t01:32:49.000z validating .github/workflows/ci.yml 2026-04-16t01:32:49.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,
"2026-04-15T19:56:45.000Z ##[group]Run CI for pytorch/pytorch
2026-04-15T19:56:45.000Z Runner image: macos-latest
2026-04-15T19:56:45.000Z Language: go
2026-04-15T19:56:45.000Z helm upgrade --install api ./charts/api
2026-04-15T19:56:45.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-15T19:56:45.000Z ##[error]Deployment failed in production stage",2026-04-15t19:56:45.000z group run ci for pytorch/pytorch 2026-04-15t19:56:45.000z runner image: macos-latest 2026-04-15t19:56:45.000z language: go 2026-04-15t19:56:45.000z helm upgrade --install api ./charts/api 2026-04-15t19:56:45.000z,Deployment Error,deploy,high,Release or deployment command failed,
"2026-04-12T06:57:15.000Z ##[group]Run CI for angular/angular
2026-04-12T06:57:15.000Z Runner image: macos-latest
2026-04-12T06:57:15.000Z Language: go
2026-04-12T06:57:15.000Z Pulling cache layer from registry
2026-04-12T06:57:15.000Z error: failed to solve: no space left on device
2026-04-12T06:57:15.000Z ##[error]Runner disk pressure caused job failure",2026-04-12t06:57:15.000z group run ci for angular/angular 2026-04-12t06:57:15.000z runner image: macos-latest 2026-04-12t06:57:15.000z language: go 2026-04-12t06:57:15.000z pulling cache layer from registry 2026-04-12t06:57:15.000z,Infrastructure Error,build,high,Runner or external service instability,
"2026-04-01T10:40:04.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-01T10:40:04.000Z Runner image: macos-latest
2026-04-01T10:40:04.000Z Language: node
2026-04-01T10:40:04.000Z FAIL src/test/java/com/example/ServiceTest.java
2026-04-01T10:40:04.000Z AssertionError: expected 10 but received 16
2026-04-01T10:40:04.000Z ##[error]Test suite failed with exit code 1",2026-04-01t10:40:04.000z group run ci for spring-projects/spring-boot 2026-04-01t10:40:04.000z runner image: macos-latest 2026-04-01t10:40:04.000z language: node 2026-04-01t10:40:04.000z fail src/test/java/com/example/servicetest.java 2026-04-01t10:40:04.000z assertionerror: expected 10,Test Failure,test,medium,Assertion mismatch in CI test suite,287.0
"2026-04-08T04:33:13.5391846Z integration_tests/basic_full_flow.py::BasicFlowTest::test_basic_fit FAILED [ 50%] 2026-04-08T04:33:14.3152550Z             loss=losses.MeanSquaredError(), 2026-04-08T04:33:14.3152845Z             metrics=[metrics.MeanSquaredError()], 2026-04-08T04:33:14.3155409Z keras/src/utils/traceback_utils.py:113: in error_handler 2026-04-08T04:33:14.3158181Z test_env/lib/python3.11/site-packages/tensorflow/python/util/traceback_utils.py:167: in error_handler",tz integrationtestsbasicfullflowpybasicflowtesttestbasicfit failed tz losslossesmeansquarederror tz,Runtime Error,test,medium,auto-detected,99.0
"2026-04-01T14:11:05.000Z ##[group]Run CI for angular/angular
2026-04-01T14:11:05.000Z Runner image: windows-latest
2026-04-01T14:11:05.000Z Language: node
2026-04-01T14:11:05.000Z helm upgrade --install api ./charts/api
2026-04-01T14:11:05.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-01T14:11:05.000Z ##[error]Deployment failed in production stage",2026-04-01t14:11:05.000z group run ci for angular/angular 2026-04-01t14:11:05.000z runner image: windows-latest 2026-04-01t14:11:05.000z language: node 2026-04-01t14:11:05.000z helm upgrade --install api ./charts/api 2026-04-01t14:11:05.000z,Deployment Error,deploy,high,Release or deployment command failed,241.0
"2026-04-01T22:21:03.000Z ##[group]Run CI for apache/spark
2026-04-01T22:21:03.000Z Runner image: ubuntu-latest
2026-04-01T22:21:03.000Z Language: node
2026-04-01T22:21:03.000Z make build-ci -j4
2026-04-01T22:21:03.000Z gcc: fatal error: cannot execute 'cc1plus': No such file or directory
2026-04-01T22:21:03.000Z ##[error]Build failed with exit code 2",2026-04-01t22:21:03.000z group run ci for apache/spark 2026-04-01t22:21:03.000z runner image: ubuntu-latest 2026-04-01t22:21:03.000z language: node 2026-04-01t22:21:03.000z make build-ci -j4 2026-04-01t22:21:03.000z gcc: fatal,Build Failure,build,high,Compilation or packaging process failed,226.0
"2026-04-02T17:16:00.000Z ##[group]Run CI for angular/angular
2026-04-02T17:16:00.000Z Runner image: ubuntu-latest
2026-04-02T17:16:00.000Z Language: rust
2026-04-02T17:16:00.000Z Pulling cache layer from registry
2026-04-02T17:16:00.000Z error: failed to solve: no space left on device
2026-04-02T17:16:00.000Z ##[error]Runner disk pressure caused job failure",2026-04-02t17:16:00.000z group run ci for angular/angular 2026-04-02t17:16:00.000z runner image: ubuntu-latest 2026-04-02t17:16:00.000z language: rust 2026-04-02t17:16:00.000z pulling cache layer from registry 2026-04-02t17:16:00.000z,Infrastructure Error,build,high,Runner or external service instability,234.0
"2026-04-01T16:33:22.000Z ##[group]Run CI for django/django
2026-04-01T16:33:22.000Z Runner image: macos-latest
2026-04-01T16:33:22.000Z Language: python
2026-04-01T16:33:22.000Z pytest -m integration --maxfail=1
2026-04-01T16:33:22.000Z Error: Process timed out after 10 minutes
2026-04-01T16:33:22.000Z ##[error]The operation was canceled",2026-04-01t16:33:22.000z group run ci for django/django 2026-04-01t16:33:22.000z runner image: macos-latest 2026-04-01t16:33:22.000z language: python 2026-04-01t16:33:22.000z pytest -m integration --maxfail 1 2026-04-01t16:33:22.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,233.0
"2026-04-15T05:36:01.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-15T05:36:01.000Z Runner image: ubuntu-latest
2026-04-15T05:36:01.000Z Language: rust
2026-04-15T05:36:01.000Z FAIL tests/integration/test_auth_flow.py
2026-04-15T05:36:01.000Z AssertionError: expected 6 but received 15
2026-04-15T05:36:01.000Z ##[error]Test suite failed with exit code 1",2026-04-15t05:36:01.000z group run ci for spring-projects/spring-boot 2026-04-15t05:36:01.000z runner image: ubuntu-latest 2026-04-15t05:36:01.000z language: rust 2026-04-15t05:36:01.000z fail tests/integration/test_auth_flow.py 2026-04-15t05:36:01.000z assertionerror: expected 6,Test Failure,test,medium,Assertion mismatch in CI test suite,
"2026-04-01T08:56:48.000Z ##[group]Run CI for angular/angular
2026-04-01T08:56:48.000Z Runner image: ubuntu-latest
2026-04-01T08:56:48.000Z Language: rust
2026-04-01T08:56:48.000Z ERROR: Module not found: Cannot resolve 'numpy'
2026-04-01T08:56:48.000Z npm ERR! code E404
2026-04-01T08:56:48.000Z ##[error]Dependency installation failed",2026-04-01t08:56:48.000z group run ci for angular/angular 2026-04-01t08:56:48.000z runner image: ubuntu-latest 2026-04-01t08:56:48.000z language: rust 2026-04-01t08:56:48.000z error: module not found: cannot resolve,Dependency Error,build,high,Missing package or unresolved module dependency,215.0
"2026-04-04T22:13:55.000Z ##[group]Run CI for facebook/react
2026-04-04T22:13:55.000Z Runner image: windows-latest
2026-04-04T22:13:55.000Z Language: python
2026-04-04T22:13:55.000Z helm upgrade --install api ./charts/api
2026-04-04T22:13:55.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-04T22:13:55.000Z ##[error]Deployment failed in production stage",2026-04-04t22:13:55.000z group run ci for facebook/react 2026-04-04t22:13:55.000z runner image: windows-latest 2026-04-04t22:13:55.000z language: python 2026-04-04t22:13:55.000z helm upgrade --install api ./charts/api 2026-04-04t22:13:55.000z,Deployment Error,deploy,high,Release or deployment command failed,
