log,cleaned_log,label,stage,severity,root_cause
"2026-04-01T07:22:58.000Z ##[group]Run CI for pytorch/pytorch
2026-04-01T07:22:58.000Z Runner image: windows-latest
2026-04-01T07:22:58.000Z Language: java
2026-04-01T07:22:58.000Z FAIL compiler/src/tests/error_reporting.rs
2026-04-01T07:22:58.000Z AssertionError: expected 6 but received 14
2026-04-01T07:22:58.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:22:58.000z group run ci for pytorch/pytorch 2026-04-01t07:22:58.000z runner image: windows-latest 2026-04-01t07:22:58.000z language: java 2026-04-01t07:22:58.000z fail compiler/src/tests/error_reporting.rs 2026-04-01t07:22:58.000z assertionerror: expected 6,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:36:08.000Z ##[group]Run CI for apache/spark
2026-04-01T07:36:08.000Z Runner image: windows-latest
2026-04-01T07:36:08.000Z Language: go
2026-04-01T07:36:08.000Z FAIL packages/react-dom/src/__tests__/hydration.test.js
2026-04-01T07:36:08.000Z AssertionError: expected 9 but received 19
2026-04-01T07:36:08.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:36:08.000z group run ci for apache/spark 2026-04-01t07:36:08.000z runner image: windows-latest 2026-04-01t07:36:08.000z language: go 2026-04-01t07:36:08.000z fail packages/react-dom/src/__tests__/hydration.test.js 2026-04-01t07:36:08.000z assertionerror: expected 9,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:52:23.000Z ##[group]Run CI for microsoft/vscode
2026-04-01T07:52:23.000Z Runner image: macos-latest
2026-04-01T07:52:23.000Z Language: rust
2026-04-01T07:52:23.000Z FAIL packages/react-dom/src/__tests__/hydration.test.js
2026-04-01T07:52:23.000Z AssertionError: expected 3 but received 19
2026-04-01T07:52:23.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:52:23.000z group run ci for microsoft/vscode 2026-04-01t07:52:23.000z runner image: macos-latest 2026-04-01t07:52:23.000z language: rust 2026-04-01t07:52:23.000z fail packages/react-dom/src/__tests__/hydration.test.js 2026-04-01t07:52:23.000z assertionerror: expected 3,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:14:09.000Z ##[group]Run CI for apache/spark
2026-04-01T07:14:09.000Z Runner image: ubuntu-latest
2026-04-01T07:14:09.000Z Language: python
2026-04-01T07:14:09.000Z FAIL packages/react-dom/src/__tests__/hydration.test.js
2026-04-01T07:14:09.000Z AssertionError: expected 7 but received 20
2026-04-01T07:14:09.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:14:09.000z group run ci for apache/spark 2026-04-01t07:14:09.000z runner image: ubuntu-latest 2026-04-01t07:14:09.000z language: python 2026-04-01t07:14:09.000z fail packages/react-dom/src/__tests__/hydration.test.js 2026-04-01t07:14:09.000z assertionerror: expected 7,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T08:00:33.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T08:00:33.000Z Runner image: windows-latest
2026-04-01T08:00:33.000Z Language: go
2026-04-01T08:00:33.000Z FAIL src/test/java/com/example/ServiceTest.java
2026-04-01T08:00:33.000Z AssertionError: expected 9 but received 11
2026-04-01T08:00:33.000Z ##[error]Test suite failed with exit code 1",2026-04-01t08:00:33.000z group run ci for tensorflow/tensorflow 2026-04-01t08:00:33.000z runner image: windows-latest 2026-04-01t08:00:33.000z language: go 2026-04-01t08:00:33.000z fail src/test/java/com/example/servicetest.java 2026-04-01t08:00:33.000z assertionerror: expected 9,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:48:49.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T07:48:49.000Z Runner image: macos-latest
2026-04-01T07:48:49.000Z Language: rust
2026-04-01T07:48:49.000Z FAIL src/test/java/com/example/ServiceTest.java
2026-04-01T07:48:49.000Z AssertionError: expected 2 but received 15
2026-04-01T07:48:49.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:48:49.000z group run ci for tensorflow/tensorflow 2026-04-01t07:48:49.000z runner image: macos-latest 2026-04-01t07:48:49.000z language: rust 2026-04-01t07:48:49.000z fail src/test/java/com/example/servicetest.java 2026-04-01t07:48:49.000z assertionerror: expected 2,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:51:32.000Z ##[group]Run CI for django/django
2026-04-01T07:51:32.000Z Runner image: ubuntu-latest
2026-04-01T07:51:32.000Z Language: go
2026-04-01T07:51:32.000Z FAIL packages/react-dom/src/__tests__/hydration.test.js
2026-04-01T07:51:32.000Z AssertionError: expected 9 but received 12
2026-04-01T07:51:32.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:51:32.000z group run ci for django/django 2026-04-01t07:51:32.000z runner image: ubuntu-latest 2026-04-01t07:51:32.000z language: go 2026-04-01t07:51:32.000z fail packages/react-dom/src/__tests__/hydration.test.js 2026-04-01t07:51:32.000z assertionerror: expected 9,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:36:09.000Z ##[group]Run CI for microsoft/vscode
2026-04-01T07:36:09.000Z Runner image: macos-latest
2026-04-01T07:36:09.000Z Language: rust
2026-04-01T07:36:09.000Z FAIL src/test/java/com/example/ServiceTest.java
2026-04-01T07:36:09.000Z AssertionError: expected 3 but received 19
2026-04-01T07:36:09.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:36:09.000z group run ci for microsoft/vscode 2026-04-01t07:36:09.000z runner image: macos-latest 2026-04-01t07:36:09.000z language: rust 2026-04-01t07:36:09.000z fail src/test/java/com/example/servicetest.java 2026-04-01t07:36:09.000z assertionerror: expected 3,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T08:16:01.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-01T08:16:01.000Z Runner image: ubuntu-latest
2026-04-01T08:16:01.000Z Language: rust
2026-04-01T08:16:01.000Z FAIL tests/integration/test_auth_flow.py
2026-04-01T08:16:01.000Z AssertionError: expected 6 but received 15
2026-04-01T08:16:01.000Z ##[error]Test suite failed with exit code 1",2026-04-01t08:16:01.000z group run ci for spring-projects/spring-boot 2026-04-01t08:16:01.000z runner image: ubuntu-latest 2026-04-01t08:16:01.000z language: rust 2026-04-01t08:16:01.000z fail tests/integration/test_auth_flow.py 2026-04-01t08:16:01.000z assertionerror: expected 6,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:20:05.000Z ##[group]Run CI for vercel/next.js
2026-04-01T07:20:05.000Z Runner image: ubuntu-latest
2026-04-01T07:20:05.000Z Language: node
2026-04-01T07:20:05.000Z FAIL internal/runtime/retry_test.go
2026-04-01T07:20:05.000Z AssertionError: expected 2 but received 19
2026-04-01T07:20:05.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:20:05.000z group run ci for vercel/next.js 2026-04-01t07:20:05.000z runner image: ubuntu-latest 2026-04-01t07:20:05.000z language: node 2026-04-01t07:20:05.000z fail internal/runtime/retry_test.go 2026-04-01t07:20:05.000z assertionerror: expected 2,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:42:16.000Z ##[group]Run CI for nodejs/node
2026-04-01T07:42:16.000Z Runner image: ubuntu-latest
2026-04-01T07:42:16.000Z Language: go
2026-04-01T07:42:16.000Z FAIL compiler/src/tests/error_reporting.rs
2026-04-01T07:42:16.000Z AssertionError: expected 10 but received 17
2026-04-01T07:42:16.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:42:16.000z group run ci for nodejs/node 2026-04-01t07:42:16.000z runner image: ubuntu-latest 2026-04-01t07:42:16.000z language: go 2026-04-01t07:42:16.000z fail compiler/src/tests/error_reporting.rs 2026-04-01t07:42:16.000z assertionerror: expected 10,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T08:06:25.000Z ##[group]Run CI for vercel/next.js
2026-04-01T08:06:25.000Z Runner image: macos-latest
2026-04-01T08:06:25.000Z Language: node
2026-04-01T08:06:25.000Z FAIL src/test/java/com/example/ServiceTest.java
2026-04-01T08:06:25.000Z AssertionError: expected 8 but received 19
2026-04-01T08:06:25.000Z ##[error]Test suite failed with exit code 1",2026-04-01t08:06:25.000z group run ci for vercel/next.js 2026-04-01t08:06:25.000z runner image: macos-latest 2026-04-01t08:06:25.000z language: node 2026-04-01t08:06:25.000z fail src/test/java/com/example/servicetest.java 2026-04-01t08:06:25.000z assertionerror: expected 8,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:23:21.000Z ##[group]Run CI for apache/spark
2026-04-01T07:23:21.000Z Runner image: ubuntu-latest
2026-04-01T07:23:21.000Z Language: node
2026-04-01T07:23:21.000Z FAIL tests/integration/test_auth_flow.py
2026-04-01T07:23:21.000Z AssertionError: expected 10 but received 19
2026-04-01T07:23:21.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:23:21.000z group run ci for apache/spark 2026-04-01t07:23:21.000z runner image: ubuntu-latest 2026-04-01t07:23:21.000z language: node 2026-04-01t07:23:21.000z fail tests/integration/test_auth_flow.py 2026-04-01t07:23:21.000z assertionerror: expected 10,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:24:45.000Z ##[group]Run CI for vercel/next.js
2026-04-01T07:24:45.000Z Runner image: macos-latest
2026-04-01T07:24:45.000Z Language: node
2026-04-01T07:24:45.000Z FAIL tests/integration/test_auth_flow.py
2026-04-01T07:24:45.000Z AssertionError: expected 4 but received 12
2026-04-01T07:24:45.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:24:45.000z group run ci for vercel/next.js 2026-04-01t07:24:45.000z runner image: macos-latest 2026-04-01t07:24:45.000z language: node 2026-04-01t07:24:45.000z fail tests/integration/test_auth_flow.py 2026-04-01t07:24:45.000z assertionerror: expected 4,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:50:17.000Z ##[group]Run CI for facebook/react
2026-04-01T07:50:17.000Z Runner image: windows-latest
2026-04-01T07:50:17.000Z Language: python
2026-04-01T07:50:17.000Z FAIL internal/runtime/retry_test.go
2026-04-01T07:50:17.000Z AssertionError: expected 4 but received 19
2026-04-01T07:50:17.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:50:17.000z group run ci for facebook/react 2026-04-01t07:50:17.000z runner image: windows-latest 2026-04-01t07:50:17.000z language: python 2026-04-01t07:50:17.000z fail internal/runtime/retry_test.go 2026-04-01t07:50:17.000z assertionerror: expected 4,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T08:44:15.000Z ##[group]Run CI for nodejs/node
2026-04-01T08:44:15.000Z Runner image: macos-latest
2026-04-01T08:44:15.000Z Language: rust
2026-04-01T08:44:15.000Z FAIL internal/runtime/retry_test.go
2026-04-01T08:44:15.000Z AssertionError: expected 7 but received 14
2026-04-01T08:44:15.000Z ##[error]Test suite failed with exit code 1",2026-04-01t08:44:15.000z group run ci for nodejs/node 2026-04-01t08:44:15.000z runner image: macos-latest 2026-04-01t08:44:15.000z language: rust 2026-04-01t08:44:15.000z fail internal/runtime/retry_test.go 2026-04-01t08:44:15.000z assertionerror: expected 7,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T08:48:26.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T08:48:26.000Z Runner image: ubuntu-latest
2026-04-01T08:48:26.000Z Language: go
2026-04-01T08:48:26.000Z FAIL internal/runtime/retry_test.go
2026-04-01T08:48:26.000Z AssertionError: expected 1 but received 12
2026-04-01T08:48:26.000Z ##[error]Test suite failed with exit code 1",2026-04-01t08:48:26.000z group run ci for tensorflow/tensorflow 2026-04-01t08:48:26.000z runner image: ubuntu-latest 2026-04-01t08:48:26.000z language: go 2026-04-01t08:48:26.000z fail internal/runtime/retry_test.go 2026-04-01t08:48:26.000z assertionerror: expected 1,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:28:15.000Z ##[group]Run CI for facebook/react
2026-04-01T07:28:15.000Z Runner image: windows-latest
2026-04-01T07:28:15.000Z Language: java
2026-04-01T07:28:15.000Z FAIL packages/react-dom/src/__tests__/hydration.test.js
2026-04-01T07:28:15.000Z AssertionError: expected 4 but received 19
2026-04-01T07:28:15.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:28:15.000z group run ci for facebook/react 2026-04-01t07:28:15.000z runner image: windows-latest 2026-04-01t07:28:15.000z language: java 2026-04-01t07:28:15.000z fail packages/react-dom/src/__tests__/hydration.test.js 2026-04-01t07:28:15.000z assertionerror: expected 4,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T08:27:29.000Z ##[group]Run CI for apache/spark
2026-04-01T08:27:29.000Z Runner image: ubuntu-latest
2026-04-01T08:27:29.000Z Language: go
2026-04-01T08:27:29.000Z FAIL packages/react-dom/src/__tests__/hydration.test.js
2026-04-01T08:27:29.000Z AssertionError: expected 2 but received 18
2026-04-01T08:27:29.000Z ##[error]Test suite failed with exit code 1",2026-04-01t08:27:29.000z group run ci for apache/spark 2026-04-01t08:27:29.000z runner image: ubuntu-latest 2026-04-01t08:27:29.000z language: go 2026-04-01t08:27:29.000z fail packages/react-dom/src/__tests__/hydration.test.js 2026-04-01t08:27:29.000z assertionerror: expected 2,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:30:05.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-01T07:30:05.000Z Runner image: ubuntu-latest
2026-04-01T07:30:05.000Z Language: python
2026-04-01T07:30:05.000Z FAIL packages/react-dom/src/__tests__/hydration.test.js
2026-04-01T07:30:05.000Z AssertionError: expected 3 but received 17
2026-04-01T07:30:05.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:30:05.000z group run ci for spring-projects/spring-boot 2026-04-01t07:30:05.000z runner image: ubuntu-latest 2026-04-01t07:30:05.000z language: python 2026-04-01t07:30:05.000z fail packages/react-dom/src/__tests__/hydration.test.js 2026-04-01t07:30:05.000z assertionerror: expected 3,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T09:04:57.000Z ##[group]Run CI for apache/spark
2026-04-01T09:04:57.000Z Runner image: windows-latest
2026-04-01T09:04:57.000Z Language: node
2026-04-01T09:04:57.000Z FAIL tests/integration/test_auth_flow.py
2026-04-01T09:04:57.000Z AssertionError: expected 3 but received 17
2026-04-01T09:04:57.000Z ##[error]Test suite failed with exit code 1",2026-04-01t09:04:57.000z group run ci for apache/spark 2026-04-01t09:04:57.000z runner image: windows-latest 2026-04-01t09:04:57.000z language: node 2026-04-01t09:04:57.000z fail tests/integration/test_auth_flow.py 2026-04-01t09:04:57.000z assertionerror: expected 3,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T09:08:18.000Z ##[group]Run CI for facebook/react
2026-04-01T09:08:18.000Z Runner image: windows-latest
2026-04-01T09:08:18.000Z Language: java
2026-04-01T09:08:18.000Z FAIL internal/runtime/retry_test.go
2026-04-01T09:08:18.000Z AssertionError: expected 9 but received 18
2026-04-01T09:08:18.000Z ##[error]Test suite failed with exit code 1",2026-04-01t09:08:18.000z group run ci for facebook/react 2026-04-01t09:08:18.000z runner image: windows-latest 2026-04-01t09:08:18.000z language: java 2026-04-01t09:08:18.000z fail internal/runtime/retry_test.go 2026-04-01t09:08:18.000z assertionerror: expected 9,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:33:37.000Z ##[group]Run CI for nodejs/node
2026-04-01T07:33:37.000Z Runner image: ubuntu-latest
2026-04-01T07:33:37.000Z Language: java
2026-04-01T07:33:37.000Z FAIL compiler/src/tests/error_reporting.rs
2026-04-01T07:33:37.000Z AssertionError: expected 1 but received 16
2026-04-01T07:33:37.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:33:37.000z group run ci for nodejs/node 2026-04-01t07:33:37.000z runner image: ubuntu-latest 2026-04-01t07:33:37.000z language: java 2026-04-01t07:33:37.000z fail compiler/src/tests/error_reporting.rs 2026-04-01t07:33:37.000z assertionerror: expected 1,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T08:08:03.000Z ##[group]Run CI for facebook/react
2026-04-01T08:08:03.000Z Runner image: ubuntu-latest
2026-04-01T08:08:03.000Z Language: rust
2026-04-01T08:08:03.000Z FAIL compiler/src/tests/error_reporting.rs
2026-04-01T08:08:03.000Z AssertionError: expected 2 but received 13
2026-04-01T08:08:03.000Z ##[error]Test suite failed with exit code 1",2026-04-01t08:08:03.000z group run ci for facebook/react 2026-04-01t08:08:03.000z runner image: ubuntu-latest 2026-04-01t08:08:03.000z language: rust 2026-04-01t08:08:03.000z fail compiler/src/tests/error_reporting.rs 2026-04-01t08:08:03.000z assertionerror: expected 2,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T08:10:25.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T08:10:25.000Z Runner image: macos-latest
2026-04-01T08:10:25.000Z Language: python
2026-04-01T08:10:25.000Z FAIL tests/integration/test_auth_flow.py
2026-04-01T08:10:25.000Z AssertionError: expected 10 but received 14
2026-04-01T08:10:25.000Z ##[error]Test suite failed with exit code 1",2026-04-01t08:10:25.000z group run ci for tensorflow/tensorflow 2026-04-01t08:10:25.000z runner image: macos-latest 2026-04-01t08:10:25.000z language: python 2026-04-01t08:10:25.000z fail tests/integration/test_auth_flow.py 2026-04-01t08:10:25.000z assertionerror: expected 10,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:36:26.000Z ##[group]Run CI for angular/angular
2026-04-01T07:36:26.000Z Runner image: macos-latest
2026-04-01T07:36:26.000Z Language: python
2026-04-01T07:36:26.000Z FAIL compiler/src/tests/error_reporting.rs
2026-04-01T07:36:26.000Z AssertionError: expected 10 but received 19
2026-04-01T07:36:26.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:36:26.000z group run ci for angular/angular 2026-04-01t07:36:26.000z runner image: macos-latest 2026-04-01t07:36:26.000z language: python 2026-04-01t07:36:26.000z fail compiler/src/tests/error_reporting.rs 2026-04-01t07:36:26.000z assertionerror: expected 10,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T08:51:15.000Z ##[group]Run CI for pytorch/pytorch
2026-04-01T08:51:15.000Z Runner image: windows-latest
2026-04-01T08:51:15.000Z Language: node
2026-04-01T08:51:15.000Z FAIL src/test/java/com/example/ServiceTest.java
2026-04-01T08:51:15.000Z AssertionError: expected 7 but received 13
2026-04-01T08:51:15.000Z ##[error]Test suite failed with exit code 1",2026-04-01t08:51:15.000z group run ci for pytorch/pytorch 2026-04-01t08:51:15.000z runner image: windows-latest 2026-04-01t08:51:15.000z language: node 2026-04-01t08:51:15.000z fail src/test/java/com/example/servicetest.java 2026-04-01t08:51:15.000z assertionerror: expected 7,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:38:00.000Z ##[group]Run CI for microsoft/vscode
2026-04-01T07:38:00.000Z Runner image: windows-latest
2026-04-01T07:38:00.000Z Language: java
2026-04-01T07:38:00.000Z FAIL internal/runtime/retry_test.go
2026-04-01T07:38:00.000Z AssertionError: expected 10 but received 20
2026-04-01T07:38:00.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:38:00.000z group run ci for microsoft/vscode 2026-04-01t07:38:00.000z runner image: windows-latest 2026-04-01t07:38:00.000z language: java 2026-04-01t07:38:00.000z fail internal/runtime/retry_test.go 2026-04-01t07:38:00.000z assertionerror: expected 10,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T08:57:08.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T08:57:08.000Z Runner image: ubuntu-latest
2026-04-01T08:57:08.000Z Language: rust
2026-04-01T08:57:08.000Z FAIL src/test/java/com/example/ServiceTest.java
2026-04-01T08:57:08.000Z AssertionError: expected 2 but received 14
2026-04-01T08:57:08.000Z ##[error]Test suite failed with exit code 1",2026-04-01t08:57:08.000z group run ci for tensorflow/tensorflow 2026-04-01t08:57:08.000z runner image: ubuntu-latest 2026-04-01t08:57:08.000z language: rust 2026-04-01t08:57:08.000z fail src/test/java/com/example/servicetest.java 2026-04-01t08:57:08.000z assertionerror: expected 2,Test Failure,test,medium,Assertion mismatch in CI test suite
